HS 2007 Product Code,HS 2007 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
030379,"Fish (excl. of 0303.71 - 0303.78),n.e.s., frozen (excl. fillets/other fish meat of 03.04/livers & roes)",1512,Processing and preserving of fish and fish products
030380,"Fish livers & roes, frozen",1512,Processing and preserving of fish and fish products
030411,"Swordfish (Xiphias gladius),fresh/chilled",1512,Processing and preserving of fish and fish products
030412,"Toothfish (Dissostichus spp.),fresh/chilled ",1512,Processing and preserving of fish and fish products
030419,"Fish fillets&other fish meat (excl. of 0304.11-0304.12, whether/not minced), fresh/chilled",1512,Processing and preserving of fish and fish products
030421,"Swordfish (Xiphias gladius),frozen fillets",1512,Processing and preserving of fish and fish products
030422,"Toothfish (Dissostichus spp.), frozen fillets",1512,Processing and preserving of fish and fish products
030429,"Fish fillets&other fish meat (excl. of 0304.21-0304.92, whether/not minced), frozen fillets",1512,Processing and preserving of fish and fish products
030491,"Swordfish (Xiphias gladius),n.e.s.",1512,Processing and preserving of fish and fish products
030492,"Toothfish (Dissostichus spp.),n.e.s.",1512,Processing and preserving of fish and fish products
030499,"Fish fillets&other fish meat (excl. of 0304.11-0304.29, whether/not minced),n.e.s.",1512,Processing and preserving of fish and fish products
030510,"Flours, meals & pellets of fish, fit for human consumption",1512,Processing and preserving of fish and fish products
030520,"Livers & roes of fish, dried/smoked/salted/in brine",1512,Processing and preserving of fish and fish products
030530,"Fish fillets, dried/salted/in brine but not smoked",1512,Processing and preserving of fish and fish products
030541,"Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for species incld.], smoked, incl. fillets",1512,Processing and preserving of fish and fish products
030542,"Herrings (Clupea harengus/pallasii), smoked, incl. fillets",1512,Processing and preserving of fish and fish products
030549,"Smoked fish (excl. of 0305.41 & 0305.42), incl. fillets",1512,Processing and preserving of fish and fish products
030551,"Cod (Gadus morhua/ogac/macrocephalus), dried, whether/not salted but not smoked",1512,Processing and preserving of fish and fish products
030559,"Dried fish other than cod (Gadus morhua/ogac/macrocephalus), whether/not salted but not smoked",1512,Processing and preserving of fish and fish products
030561,"Herrings (Clupea harengus/pallasii), salted (but not dried/smoked)/in brine",1512,Processing and preserving of fish and fish products
030562,"Cod (Gadus morhua/ogac/macrocephalus), salted (but not dried/smoked)/in brine",1512,Processing and preserving of fish and fish products
030563,"Anchovies (Engraulis spp.), salted (but not dried/smoked)/in brine",1512,Processing and preserving of fish and fish products
030569,"Fish other than herrings (Clupea harengus/pallasii), cod (Gadus morhua/ogac/macrocephalus) & anchovies (Engraulis spp.), salted (but not dried/smoked)/in brine",1512,Processing and preserving of fish and fish products
030611,"Rock lobster & other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether/not in shell, frozen",1512,Processing and preserving of fish and fish products
030612,"Lobsters (Homarus spp.), whether/not in shell, frozen",1512,Processing and preserving of fish and fish products
030613,"Shrimps & prawns, whether/not in shell, frozen",1512,Processing and preserving of fish and fish products
030614,"Crabs, whether/not in shell, frozen",1512,Processing and preserving of fish and fish products
030619,"Frozen crustaceans (excl. of 0306.11-0306.14); frozen flours/meals/pellets of crustaceans, fit for human consumption",1512,Processing and preserving of fish and fish products
030621,"Rock lobster & other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), whether/not in shell, other than frozen",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030622,"Lobsters (Homarus spp.), whether/not in shell, other than frozen",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030623,"Shrimps & prawns, whether/not in shell, other than frozen",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030624,"Crabs, whether/not in shell, other than frozen",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030629,"Crustaceans, other than frozen (excl. of 0306.21-0306.24); flours/meals/pellets of crustaceans, fit for human consumption, other than frozen",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030710,"Oysters, whether/not in shell, live/fresh/chilled/frozen/dried/salted/in brine",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030721,"Scallops, incl. queen scallops (genera Pecten/Chlamys/Placopecten), live/fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030729,"Scallops, incl. queen scallops (genera Pecten/Chlamys/Placopecten), other than live/fresh/chilled",1512,Processing and preserving of fish and fish products
030731,"Mussels (Mytilus spp., Perna spp.), live/fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030739,"Mussels (Mytilus spp., Perna spp.), other than live/fresh/chilled",1512,Processing and preserving of fish and fish products
030741,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) & squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.), live/fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030749,"Cuttle fish (Sepia officinalis, Rossia macrosoma, Sepiola spp.) & squid (Ommastrephes spp., Loligo spp., Nototodarus spp., Sepioteuthis spp.), other than live/fresh/chilled",1512,Processing and preserving of fish and fish products
030751,"Octopus (Octopus spp.), live/fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030759,"Octopus (Octopus spp.), other than live/fresh/chilled",1512,Processing and preserving of fish and fish products
030760,Snails (excl. sea snails),0122,Other animal farming; production of animal products n.e.c.
030791,"Molluscs & invertebrates (excl. of 0307.10-0307.60), live/fresh/chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030799,"Molluscs & invertebrates (excl. of 0307.10-0307.60), frozen/dried/salted/in brine; incl. flours/meals/pellets of aquatic invertebrates other than crustaceans, fit for human consumption",1512,Processing and preserving of fish and fish products
040110,"Milk & cream, not concentrated/sweetened, fat content by weight not >1%",1520,Manufacture of dairy products
040120,"Milk & cream, not concentrated/sweetened, fat content by weight >1% but not >6%",1520,Manufacture of dairy products
040130,"Milk & cream, not concentrated/sweetened, fat content by weight >6%",1520,Manufacture of dairy products
040210,"Milk in powder/granules/other solid form, fat content by weight not >1.5%",1520,Manufacture of dairy products
040221,"Milk in powder/granules/other solid form, unsweetened, fat content by weight >1.5%",1520,Manufacture of dairy products
040229,"Milk in powder/granules/other solid form, sweetened, fat content by weight >1.5%",1520,Manufacture of dairy products
040291,"Milk & cream, concentrated (excl. in powder), unsweetened",1520,Manufacture of dairy products
040299,"Milk & cream, concentrated (excl. in powder), sweetened",1520,Manufacture of dairy products
040310,Yogurt,1520,Manufacture of dairy products
040390,"Buttermilk/curdled milk & cream/kephir & other fermented/acidified milk & cream, whether/not concentrated/sweetened/flavoured/containing fruit/nuts/cocoa",1520,Manufacture of dairy products
040410,"Whey & modified whey, whether/not concentrated/sweetened",1520,Manufacture of dairy products
040490,"Milk products of natural milk constituents, whether/not sweetened, n.e.s.",1520,Manufacture of dairy products
040510,Butter,1520,Manufacture of dairy products
040520,Dairy spreads,1520,Manufacture of dairy products
040590,"Fats & oils derived from milk, other than butter & dairy spreads",1520,Manufacture of dairy products
040610,"Fresh (unripened/uncured) cheese, incl. whey cheese, & curd",1520,Manufacture of dairy products
040620,"Grated/powdered cheese, of all kinds",1520,Manufacture of dairy products
040630,"Processed cheese, not grated/powdered",1520,Manufacture of dairy products
040640,Blue-veined cheese,1520,Manufacture of dairy products
040690,Cheese (excl. of 0406.10-0406.40),1520,Manufacture of dairy products
040700,"Birds' eggs, in shell, fresh/preserved/cooked",0122,Other animal farming; production of animal products n.e.c.
040811,"Egg yolks, dried, whether/not containing added sugar/other sweetening matter",1549,Manufacture of other food products n.e.c.
040819,"Egg yolks (excl. dried), whether/not containing added sugar/other sweetening matter",1549,Manufacture of other food products n.e.c.
040891,"Birds' eggs, not in shell (excl. yolks), dried, whether/not containing added sugar/other sweetening matter",1549,Manufacture of other food products n.e.c.
040899,"Birds' eggs, not in shell (excl. yolks), other than dried, whether/not containing added sugar/other sweetening matter",1549,Manufacture of other food products n.e.c.
040900,Natural honey,0122,Other animal farming; production of animal products n.e.c.
041000,"Edible products of animal origin, n.e.s.",0122,Other animal farming; production of animal products n.e.c.
050100,"Human hair, unworked, whether/not washed/scoured; waste of human hair",9302,Hairdressing and other beauty treatment
050210,Pigs'/hogs'/boars' bristles & hair & waste thereof,9999,Goods not elsewhere classified
050290,Badger hair & other brush making hair; waste of such bristles/hair,9999,Goods not elsewhere classified
050400,"Guts, bladders & stomachs of animals (other than fish), whole & pieces thereof , fresh/chilled/frozen/salted/in brine/dried/smoked",9999,Goods not elsewhere classified
050510,Feathers of a kind used for stuffing; down,9999,Goods not elsewhere classified
050590,"Skins & other parts of birds with feathers/down; feathers & parts of feathers (excl. of 0505.10), not further worked than cleaned, disinfected/treated for preservation; powder & waste of feathers/parts of feathers",9999,Goods not elsewhere classified
050610,Ossein & bones treated with acid,9999,Goods not elsewhere classified
