Entity,Code,Year,Continent,Date,Total confirmed deaths due to COVID-19 per million people,"Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)"
Afghanistan,AFG,,,2020-07-27,32.65,0.31557
Afghanistan,AFG,,,2020-07-28,32.675,0.30829
Afghanistan,AFG,,,2020-07-29,32.701,0.29729
Afghanistan,AFG,,,2020-07-30,32.958,0.257
Afghanistan,AFG,,,2020-07-31,32.984,0.20929
Afghanistan,AFG,,,2020-08-01,33.009,0.13229
Afghanistan,AFG,,,2020-08-02,33.035,0.092
Afghanistan,AFG,,,2020-08-03,33.138,0.07
Afghanistan,AFG,,,2020-08-04,33.138,0.06629
Afghanistan,AFG,,,2020-08-05,33.292,0.08457
Afghanistan,AFG,,,2020-08-06,33.42,0.06614
Afghanistan,AFG,,,2020-08-07,33.652,0.09543
Afghanistan,AFG,,,2020-08-08,33.78,0.11
Afghanistan,AFG,,,2020-08-09,33.934,0.12829
Afghanistan,AFG,,,2020-08-10,34.14,0.143
Afghanistan,AFG,,,2020-08-11,34.576,0.20543
Afghanistan,AFG,,,2020-08-12,34.833,0.22014
Afghanistan,AFG,,,2020-08-13,35.064,0.23486
Afghanistan,AFG,,,2020-08-14,35.193,0.22014
Afghanistan,AFG,,,2020-08-15,35.219,0.20557
Afghanistan,AFG,,,2020-08-16,35.347,0.20186
Afghanistan,AFG,,,2020-08-17,35.398,0.17971
Afghanistan,AFG,,,2020-08-18,35.501,0.132
Afghanistan,AFG,,,2020-08-19,35.553,0.10257
Afghanistan,AFG,,,2020-08-20,35.604,0.07686
Afghanistan,AFG,,,2020-08-21,35.604,0.05857
Afghanistan,AFG,,,2020-08-22,35.604,0.05486
Afghanistan,AFG,,,2020-08-23,35.655,0.04386
Afghanistan,AFG,,,2020-08-24,35.707,0.04386
Afghanistan,AFG,,,2020-08-25,35.912,0.05857
Afghanistan,AFG,,,2020-08-26,36.015,0.066
Afghanistan,AFG,,,2020-08-27,36.015,0.05871
Afghanistan,AFG,,,2020-08-28,36.041,0.06243
Afghanistan,AFG,,,2020-08-29,36.041,0.06243
Afghanistan,AFG,,,2020-08-30,36.041,0.05514
Afghanistan,AFG,,,2020-08-31,36.041,0.04786
Afghanistan,AFG,,,2020-09-01,36.143,0.03314
Afghanistan,AFG,,,2020-09-02,36.22,0.02943
Afghanistan,AFG,,,2020-09-03,36.22,0.02943
Afghanistan,AFG,,,2020-09-04,36.22,0.02571
Afghanistan,AFG,,,2020-09-05,36.22,0.02571
Afghanistan,AFG,,,2020-09-06,36.297,0.03671
Afghanistan,AFG,,,2020-09-07,36.375,0.04771
Afghanistan,AFG,,,2020-09-08,36.452,0.044
Afghanistan,AFG,,,2020-09-09,36.503,0.04029
Afghanistan,AFG,,,2020-09-10,36.503,0.04029
Afghanistan,AFG,,,2020-09-11,36.503,0.04029
Afghanistan,AFG,,,2020-09-12,36.503,0.04029
Afghanistan,AFG,,,2020-09-13,36.503,0.02929
Afghanistan,AFG,,,2020-09-14,36.657,0.04029
Afghanistan,AFG,,,2020-09-15,36.683,0.033
Afghanistan,AFG,,,2020-09-16,36.94,0.06243
Afghanistan,AFG,,,2020-09-17,36.94,0.06243
Afghanistan,AFG,,,2020-09-18,36.965,0.06614
Afghanistan,AFG,,,2020-09-19,36.965,0.06614
Afghanistan,AFG,,,2020-09-20,37.068,0.08086
Afghanistan,AFG,,,2020-09-21,37.145,0.06986
Afghanistan,AFG,,,2020-09-22,37.171,0.06986
Afghanistan,AFG,,,2020-09-23,37.197,0.03686
Afghanistan,AFG,,,2020-09-24,37.325,0.05514
Afghanistan,AFG,,,2020-09-25,37.325,0.05143
Afghanistan,AFG,,,2020-09-26,37.376,0.05871
Afghanistan,AFG,,,2020-09-27,37.376,0.044
Afghanistan,AFG,,,2020-09-28,37.453,0.044
Afghanistan,AFG,,,2020-09-29,37.505,0.04757
Afghanistan,AFG,,,2020-09-30,37.505,0.04386
Afghanistan,AFG,,,2020-10-01,37.505,0.02557
Afghanistan,AFG,,,2020-10-02,37.505,0.02557
Afghanistan,AFG,,,2020-10-03,37.608,0.033
Afghanistan,AFG,,,2020-10-04,37.608,0.033
Afghanistan,AFG,,,2020-10-05,37.71,0.03671
Afghanistan,AFG,,,2020-10-06,37.736,0.03314
Afghanistan,AFG,,,2020-10-07,37.787,0.04043
Afghanistan,AFG,,,2020-10-08,37.813,0.04414
Afghanistan,AFG,,,2020-10-09,37.864,0.05143
Afghanistan,AFG,,,2020-10-10,37.89,0.04043
Afghanistan,AFG,,,2020-10-11,37.993,0.05514
Afghanistan,AFG,,,2020-10-12,38.044,0.04771
Afghanistan,AFG,,,2020-10-13,38.07,0.04771
Afghanistan,AFG,,,2020-10-14,38.096,0.04414
Afghanistan,AFG,,,2020-10-15,38.096,0.04043
Afghanistan,AFG,,,2020-10-16,38.198,0.04786
Afghanistan,AFG,,,2020-10-17,38.275,0.05514
Afghanistan,AFG,,,2020-10-18,38.378,0.05514
Afghanistan,AFG,,,2020-10-19,38.507,0.06614
Afghanistan,AFG,,,2020-10-20,38.558,0.06971
Afghanistan,AFG,,,2020-10-21,38.609,0.07329
Afghanistan,AFG,,,2020-10-22,38.712,0.088
Afghanistan,AFG,,,2020-10-23,38.764,0.08057
Afghanistan,AFG,,,2020-10-24,38.866,0.08429
Afghanistan,AFG,,,2020-10-25,38.943,0.08057
Afghanistan,AFG,,,2020-10-26,39.046,0.077
Afghanistan,AFG,,,2020-10-27,39.175,0.088
Afghanistan,AFG,,,2020-10-28,39.329,0.10271
Afghanistan,AFG,,,2020-10-29,39.406,0.099
Afghanistan,AFG,,,2020-10-30,39.431,0.09543
Afghanistan,AFG,,,2020-10-31,39.508,0.09171
Afghanistan,AFG,,,2020-11-01,39.508,0.08071
Afghanistan,AFG,,,2020-11-02,39.663,0.088
Afghanistan,AFG,,,2020-11-03,39.74,0.08071
Afghanistan,AFG,,,2020-11-04,39.842,0.07343
Afghanistan,AFG,,,2020-11-05,39.997,0.08443
Afghanistan,AFG,,,2020-11-06,39.997,0.08071
Afghanistan,AFG,,,2020-11-07,40.048,0.077
Afghanistan,AFG,,,2020-11-08,40.202,0.099
Afghanistan,AFG,,,2020-11-09,40.51,0.121
Afghanistan,AFG,,,2020-11-10,40.587,0.121
Afghanistan,AFG,,,2020-11-11,40.69,0.121
Afghanistan,AFG,,,2020-11-12,40.947,0.13571
Afghanistan,AFG,,,2020-11-13,41.05,0.15043
Afghanistan,AFG,,,2020-11-14,41.307,0.17986
Afghanistan,AFG,,,2020-11-15,41.615,0.20186
Afghanistan,AFG,,,2020-11-16,42,0.21286
Afghanistan,AFG,,,2020-11-17,42.154,0.22386
Afghanistan,AFG,,,2020-11-18,42.334,0.23486
Afghanistan,AFG,,,2020-11-19,42.463,0.21643
Afghanistan,AFG,,,2020-11-20,42.797,0.24943
Afghanistan,AFG,,,2020-11-21,43.105,0.25671
Afghanistan,AFG,,,2020-11-22,43.413,0.25671
Afghanistan,AFG,,,2020-11-23,43.721,0.24571
Afghanistan,AFG,,,2020-11-24,44.055,0.27143
Afghanistan,AFG,,,2020-11-25,44.389,0.29343
Afghanistan,AFG,,,2020-11-26,44.62,0.30814
Afghanistan,AFG,,,2020-11-27,44.698,0.27143
Afghanistan,AFG,,,2020-11-28,45.006,0.27143
Afghanistan,AFG,,,2020-11-29,45.571,0.30814
Afghanistan,AFG,,,2020-11-30,46.11,0.34114
Afghanistan,AFG,,,2020-12-01,46.804,0.39257
Afghanistan,AFG,,,2020-12-02,47.292,0.41457
Afghanistan,AFG,,,2020-12-03,47.42,0.39986
Afghanistan,AFG,,,2020-12-04,47.42,0.38886
Afghanistan,AFG,,,2020-12-05,47.883,0.41086
Afghanistan,AFG,,,2020-12-06,48.14,0.36686
Afghanistan,AFG,,,2020-12-07,48.808,0.38529
Afghanistan,AFG,,,2020-12-08,48.962,0.30814
Afghanistan,AFG,,,2020-12-09,49.296,0.28614
Afghanistan,AFG,,,2020-12-10,49.707,0.32657
Afghanistan,AFG,,,2020-12-11,49.964,0.36329
Afghanistan,AFG,,,2020-12-12,50.246,0.33771
Afghanistan,AFG,,,2020-12-13,50.477,0.334
Afghanistan,AFG,,,2020-12-14,50.58,0.25329
Afghanistan,AFG,,,2020-12-15,51.248,0.32671
Afghanistan,AFG,,,2020-12-16,51.659,0.33771
Afghanistan,AFG,,,2020-12-17,52.019,0.33043
Afghanistan,AFG,,,2020-12-18,52.147,0.312
Afghanistan,AFG,,,2020-12-19,52.584,0.334
Afghanistan,AFG,,,2020-12-20,53.098,0.37443
Afghanistan,AFG,,,2020-12-21,53.483,0.41471
Afghanistan,AFG,,,2020-12-22,53.843,0.37071
Afghanistan,AFG,,,2020-12-23,54.382,0.389
Afghanistan,AFG,,,2020-12-24,54.613,0.37057
Afghanistan,AFG,,,2020-12-25,54.947,0.4
Afghanistan,AFG,,,2020-12-26,55.204,0.37429
Afghanistan,AFG,,,2020-12-27,55.487,0.34129
Afghanistan,AFG,,,2020-12-28,55.846,0.33771
Afghanistan,AFG,,,2020-12-29,55.975,0.30457
Afghanistan,AFG,,,2020-12-30,56.026,0.23486
Afghanistan,AFG,,,2020-12-31,56.283,0.23857
Afghanistan,AFG,,,2021-01-01,56.283,0.19086
Afghanistan,AFG,,,2021-01-02,56.283,0.15414
Afghanistan,AFG,,,2021-01-03,56.283,0.11371
Afghanistan,AFG,,,2021-01-04,57.465,0.23114
Afghanistan,AFG,,,2021-01-05,57.644,0.23857
Afghanistan,AFG,,,2021-01-06,57.644,0.23129
Afghanistan,AFG,,,2021-01-07,57.876,0.22757
Afghanistan,AFG,,,2021-01-08,57.978,0.24229
Afghanistan,AFG,,,2021-01-09,58.158,0.268
Afghanistan,AFG,,,2021-01-10,58.492,0.31571
Afghanistan,AFG,,,2021-01-11,58.775,0.18729
Afghanistan,AFG,,,2021-01-12,59.109,0.20929
Afghanistan,AFG,,,2021-01-13,59.109,0.20929
Afghanistan,AFG,,,2021-01-14,59.443,0.224
Afghanistan,AFG,,,2021-01-15,59.699,0.246
Afghanistan,AFG,,,2021-01-16,60.008,0.26429
Afghanistan,AFG,,,2021-01-17,60.085,0.22757
Afghanistan,AFG,,,2021-01-18,60.188,0.20186
Afghanistan,AFG,,,2021-01-19,60.265,0.16514
Akrotiri and Dhekelia,OWID_AKD,2015,Asia,,,
Albania,ALB,2015,Europe,,,
Albania,ALB,,,2020-03-11,0.347,
Albania,ALB,,,2020-03-12,0.347,
Albania,ALB,,,2020-03-13,0.347,0.11567
Albania,ALB,,,2020-03-14,0.347,0.08675
Albania,ALB,,,2020-03-15,0.347,0.0694
Albania,ALB,,,2020-03-16,0.347,0.05783
Albania,ALB,,,2020-03-17,0.347,0.04957
Albania,ALB,,,2020-03-18,0.695,0.04957
Albania,ALB,,,2020-03-19,0.695,0.04957
Albania,ALB,,,2020-03-20,0.695,0.04957
Albania,ALB,,,2020-03-21,0.695,0.04957
Albania,ALB,,,2020-03-22,0.695,0.04957
Albania,ALB,,,2020-03-23,1.39,0.14886
Albania,ALB,,,2020-03-24,1.737,0.19843
Albania,ALB,,,2020-03-25,1.737,0.14886
Albania,ALB,,,2020-03-26,2.085,0.19843
Albania,ALB,,,2020-03-27,2.78,0.29771
Albania,ALB,,,2020-03-28,3.475,0.397
Albania,ALB,,,2020-03-29,3.475,0.397
Albania,ALB,,,2020-03-30,3.822,0.34729
Albania,ALB,,,2020-03-31,5.212,0.49629
Albania,ALB,,,2020-04-01,5.212,0.49629
Albania,ALB,,,2020-04-02,5.56,0.49629
Albania,ALB,,,2020-04-03,5.907,0.44657
Albania,ALB,,,2020-04-04,6.95,0.49614
Albania,ALB,,,2020-04-05,6.95,0.49614
Albania,ALB,,,2020-04-06,7.297,0.49614
Albania,ALB,,,2020-04-07,7.645,0.34714
Albania,ALB,,,2020-04-08,7.645,0.34714
Albania,ALB,,,2020-04-09,7.992,0.34714
Albania,ALB,,,2020-04-10,7.992,0.29757
Albania,ALB,,,2020-04-11,7.992,0.14871
Albania,ALB,,,2020-04-12,7.992,0.14871
Albania,ALB,,,2020-04-13,7.992,0.09914
Albania,ALB,,,2020-04-14,8.34,0.09914
Albania,ALB,,,2020-04-15,8.687,0.14871
Albania,ALB,,,2020-04-16,9.035,0.14871
Albania,ALB,,,2020-04-17,9.035,0.14871
Albania,ALB,,,2020-04-18,9.035,0.14871
Albania,ALB,,,2020-04-19,9.035,0.14871
Albania,ALB,,,2020-04-20,9.035,0.14871
Albania,ALB,,,2020-04-21,9.035,0.09914
Albania,ALB,,,2020-04-22,9.382,0.09914
Albania,ALB,,,2020-04-23,9.382,0.04957
Albania,ALB,,,2020-04-24,9.382,0.04957
Albania,ALB,,,2020-04-25,9.382,0.04957
Albania,ALB,,,2020-04-26,9.73,0.09914
Albania,ALB,,,2020-04-27,9.73,0.09914
Albania,ALB,,,2020-04-28,10.425,0.19843
Albania,ALB,,,2020-04-29,10.425,0.14886
Albania,ALB,,,2020-04-30,10.772,0.19843
Albania,ALB,,,2020-05-01,10.772,0.19843
Albania,ALB,,,2020-05-02,10.772,0.19843
Albania,ALB,,,2020-05-03,10.772,0.14886
Albania,ALB,,,2020-05-04,10.772,0.14886
Albania,ALB,,,2020-05-05,10.772,0.04957
Albania,ALB,,,2020-05-06,10.772,0.04957
Albania,ALB,,,2020-05-07,10.772,0
Albania,ALB,,,2020-05-08,10.772,0
Albania,ALB,,,2020-05-09,10.772,0
Albania,ALB,,,2020-05-10,10.772,0
Albania,ALB,,,2020-05-11,10.772,0
Albania,ALB,,,2020-05-12,10.772,0
Albania,ALB,,,2020-05-13,10.772,0
Albania,ALB,,,2020-05-14,10.772,0
Albania,ALB,,,2020-05-15,10.772,0
Albania,ALB,,,2020-05-16,10.772,0
Albania,ALB,,,2020-05-17,10.772,0
Albania,ALB,,,2020-05-18,10.772,0
Albania,ALB,,,2020-05-19,10.772,0
Albania,ALB,,,2020-05-20,10.772,0
Albania,ALB,,,2020-05-21,10.772,0
Albania,ALB,,,2020-05-22,10.772,0
Albania,ALB,,,2020-05-23,10.772,0
Albania,ALB,,,2020-05-24,11.12,0.04957
Albania,ALB,,,2020-05-25,11.12,0.04957
Albania,ALB,,,2020-05-26,11.467,0.09914
Albania,ALB,,,2020-05-27,11.467,0.09914
Albania,ALB,,,2020-05-28,11.467,0.09914
Albania,ALB,,,2020-05-29,11.467,0.09914
Albania,ALB,,,2020-05-30,11.467,0.09914
Albania,ALB,,,2020-05-31,11.467,0.04957
Albania,ALB,,,2020-06-01,11.467,0.04957
Albania,ALB,,,2020-06-02,11.467,0
Albania,ALB,,,2020-06-03,11.467,0
Albania,ALB,,,2020-06-04,11.467,0
Albania,ALB,,,2020-06-05,11.467,0
Albania,ALB,,,2020-06-06,11.815,0.04957
Albania,ALB,,,2020-06-07,11.815,0.04957
Albania,ALB,,,2020-06-08,11.815,0.04957
Albania,ALB,,,2020-06-09,11.815,0.04957
Albania,ALB,,,2020-06-10,11.815,0.04957
Albania,ALB,,,2020-06-11,12.162,0.09914
Albania,ALB,,,2020-06-12,12.51,0.14871
Albania,ALB,,,2020-06-13,12.51,0.09914
Albania,ALB,,,2020-06-14,12.51,0.09914
Albania,ALB,,,2020-06-15,12.51,0.09914
Albania,ALB,,,2020-06-16,12.857,0.14871
Albania,ALB,,,2020-06-17,13.205,0.19829
Albania,ALB,,,2020-06-18,13.552,0.19829
Albania,ALB,,,2020-06-19,14.594,0.29757
Albania,ALB,,,2020-06-20,14.942,0.34714
Albania,ALB,,,2020-06-21,15.289,0.39671
Albania,ALB,,,2020-06-22,15.289,0.39671
Albania,ALB,,,2020-06-23,15.637,0.39671
Albania,ALB,,,2020-06-24,16.332,0.44643
Albania,ALB,,,2020-06-25,17.027,0.49614
Albania,ALB,,,2020-06-26,17.722,0.44657
Albania,ALB,,,2020-06-27,18.417,0.49629
Albania,ALB,,,2020-06-28,19.112,0.546
Albania,ALB,,,2020-06-29,20.154,0.69486
Albania,ALB,,,2020-06-30,21.544,0.84386
Albania,ALB,,,2020-07-01,22.587,0.89343
Albania,ALB,,,2020-07-02,23.977,0.99271
Albania,ALB,,,2020-07-03,25.019,1.04229
Albania,ALB,,,2020-07-04,25.714,1.04229
Albania,ALB,,,2020-07-05,26.409,1.04229
Albania,ALB,,,2020-07-06,27.452,1.04229
Albania,ALB,,,2020-07-07,28.147,0.943
Albania,ALB,,,2020-07-08,28.841,0.89343
Albania,ALB,,,2020-07-09,28.841,0.69486
Albania,ALB,,,2020-07-10,29.536,0.64529
Albania,ALB,,,2020-07-11,30.926,0.74457
Albania,ALB,,,2020-07-12,32.316,0.84386
Albania,ALB,,,2020-07-13,33.011,0.79429
Albania,ALB,,,2020-07-14,33.706,0.79429
Albania,ALB,,,2020-07-15,35.096,0.89357
Albania,ALB,,,2020-07-16,36.139,1.04243
Albania,ALB,,,2020-07-17,37.181,1.092
Albania,ALB,,,2020-07-18,38.571,1.092
Albania,ALB,,,2020-07-19,38.919,0.943
Albania,ALB,,,2020-07-20,39.266,0.89329
Albania,ALB,,,2020-07-21,40.656,0.99257
Albania,ALB,,,2020-07-22,41.699,0.94286
Albania,ALB,,,2020-07-23,42.741,0.94286
Albania,ALB,,,2020-07-24,44.478,1.04214
Albania,ALB,,,2020-07-25,46.563,1.14143
Albania,ALB,,,2020-07-26,47.953,1.29043
Albania,ALB,,,2020-07-27,50.038,1.53871
Albania,ALB,,,2020-07-28,51.428,1.53871
Albania,ALB,,,2020-07-29,52.123,1.48914
Albania,ALB,,,2020-07-30,53.513,1.53886
Albania,ALB,,,2020-07-31,54.556,1.43957
Albania,ALB,,,2020-08-01,55.946,1.34029
Albania,ALB,,,2020-08-02,57.683,1.38986
Albania,ALB,,,2020-08-03,59.768,1.38986
Albania,ALB,,,2020-08-04,61.158,1.38986
Albania,ALB,,,2020-08-05,63.243,1.58843
Albania,ALB,,,2020-08-06,65.328,1.68771
Albania,ALB,,,2020-08-07,65.675,1.58843
Albania,ALB,,,2020-08-08,67.065,1.58843
Albania,ALB,,,2020-08-09,69.15,1.63814
Albania,ALB,,,2020-08-10,69.498,1.38986
Albania,ALB,,,2020-08-11,71.235,1.43943
Albania,ALB,,,2020-08-12,72.277,1.29043
Albania,ALB,,,2020-08-13,74.015,1.24071
Albania,ALB,,,2020-08-14,76.1,1.489
Albania,ALB,,,2020-08-15,78.185,1.58829
Albania,ALB,,,2020-08-16,79.227,1.43929
Albania,ALB,,,2020-08-17,79.922,1.489
Albania,ALB,,,2020-08-18,80.617,1.34014
Albania,ALB,,,2020-08-19,81.312,1.29057
Albania,ALB,,,2020-08-20,82.702,1.241
Albania,ALB,,,2020-08-21,83.397,1.04243
Albania,ALB,,,2020-08-22,85.134,0.99271
Albania,ALB,,,2020-08-23,86.872,1.092
Albania,ALB,,,2020-08-24,88.262,1.19129
Albania,ALB,,,2020-08-25,89.999,1.34014
Albania,ALB,,,2020-08-26,91.389,1.43943
Albania,ALB,,,2020-08-27,92.432,1.38971
Albania,ALB,,,2020-08-28,94.169,1.53857
Albania,ALB,,,2020-08-29,95.559,1.489
Albania,ALB,,,2020-08-30,97.297,1.489
Albania,ALB,,,2020-08-31,98.686,1.489
Albania,ALB,,,2020-09-01,100.771,1.53871
Albania,ALB,,,2020-09-02,102.856,1.638
Albania,ALB,,,2020-09-03,104.594,1.73729
Albania,ALB,,,2020-09-04,106.331,1.73729
Albania,ALB,,,2020-09-05,108.416,1.83657
Albania,ALB,,,2020-09-06,109.806,1.787
Albania,ALB,,,2020-09-07,110.849,1.73729
Albania,ALB,,,2020-09-08,111.544,1.53871
Albania,ALB,,,2020-09-09,111.891,1.29043
Albania,ALB,,,2020-09-10,112.586,1.14157
Albania,ALB,,,2020-09-11,113.628,1.04229
Albania,ALB,,,2020-09-12,114.671,0.89329
Albania,ALB,,,2020-09-13,116.061,0.89329
Albania,ALB,,,2020-09-14,117.451,0.943
Albania,ALB,,,2020-09-15,118.146,0.943
Albania,ALB,,,2020-09-16,119.188,1.04229
Albania,ALB,,,2020-09-17,120.578,1.14157
Albania,ALB,,,2020-09-18,122.663,1.29057
Albania,ALB,,,2020-09-19,124.401,1.38986
Albania,ALB,,,2020-09-20,125.791,1.38986
Albania,ALB,,,2020-09-21,126.486,1.29057
