"ISIC31code","partialISIC31","ISIC4code","partialISIC4","Detail"
"1200",1,"0721",0,""
"1200",1,"0990",1,"Support services for uranium and thorium mining"
"1310",1,"0710",0,""
"1310",1,"0990",1,"Support services for iron ore mining"
"1320",1,"0729",0,""
"1320",1,"0990",1,"Support services for other metal ore mining"
"1410",1,"0810",1,"Quarrying of stone, sand and clay (see other links for exceptions)"
"1410",1,"0990",1,"Support services for sand, stone and clay quarrying"
"1421",1,"0891",0,""
"1421",1,"0990",1,"Support services for chemical and fertilizer mining"
"1422",1,"0893",0,""
"1422",1,"0990",1,"Support services for salt extraction"
"1429",1,"0810",1,"Schists, dimension and crushed or broken"
"1429",1,"0899",0,""
"1429",1,"0990",1,"Support services for other mining and quarrying"
"1511",0,"1010",0,""
"1512",1,"1020",0,""
"1512",1,"1075",1,"Manufacture of prepared fish dishes"
"1513",1,"1030",1,"Processing and preserving of fruit and vegetables, except manufacture of tofu and prepared dishes of vegetables"
"1513",1,"1075",1,"Manufacture of prepared dishes of vegetables"
"1514",0,"1040",0,""
"1520",0,"1050",0,""
"1531",0,"1061",0,""
"1532",0,"1062",0,""
"1533",0,"1080",0,""
"1541",0,"1071",1,""
"1542",0,"1072",0,""
"1543",0,"1073",0,""
"1544",1,"1074",0,""
"1544",1,"1075",1,"Prepared couscous dishes, prepared pasta dishes"
"1549",1,"1030",1,"Manufacture of tofu (bean curd)"
"1549",1,"1071",1,"Manufacture of snack products, such as corn chips, pretzels and tortilla chips, not prepared by baking"
"1549",1,"1075",1,"Production of prepared meat dishes; manufacture of frozen pizza; canned stews and vacuum-prepared meals"
"1549",1,"1079",1,"Manufacture of food products not elsewhere classified"
"1549",1,"3530",1,"Manufacture of ice for food purposes"
"1551",1,"1101",0,""
"1551",1,"2011",1,"Production of ethyl alcohol from fermented materials"
"1552",0,"1102",1,""
"1553",0,"1103",0,""
"1554",0,"1104",0,""
"1600",0,"1200",0,""
"1711",1,"1311",0,""
"1711",1,"1312",1,"Weaving of textiles"
"1712",0,"1313",1,""
"1721",1,"1392",1,"Manufacture of made-up textile articles from purchased fabrics"
"1721",1,"3250",1,"Manufacture of surgical drapes, belts and trusses"
"1721",1,"3319",1,"Repair of canvas products, tarpaulin, fertilizer and chemical storage bags"
"1722",0,"1393",0,""
"1723",1,"1394",0,""
"1723",1,"3319",1,"Repair of ropes, fishing nets, including mending"
"1729",1,"1313",1,"Waterproofing and coating of textiles"
"1729",1,"1399",1,"Manufacture of narrow woven fabrics, labels, ornamental trimmings, felt, tulles, metallized yarn and the like, tyre cord fabric, treated or coated fabrics, artists' canvas boards, textile shoe laces, diverse textile articles"
"1729",1,"1709",1,"Manufacture of textile wadding and articles of wadding: sanitary towels, tampons etc.,"
"1730",1,"1391",0,""
"1730",1,"1430",0,""
"1810",1,"1313",1,"Waterproofing of garments"
"1810",1,"1410",0,""
"1810",1,"3290",1,"Manufacture of fire-resistant clothing, of textile"
"1820",1,"1420",0,""
"1820",1,"1511",1,"Dressing and dyeing of fur; manufacture of artificial fur"
"1911",0,"1511",1,""
"1912",1,"1512",1,"Manufacture of luggage and other leather products, except shoe laces, riding crops and lineman's safety and similar belts"
"1912",1,"3290",1,"Manufacture of linemen's safety belts and other belts for occupational use"
"1920",1,"1512",1,"Manufacture of leather shoe laces"
"1920",1,"1520",0,""
"1920",1,"1629",1,"Manufacture of wooden shoe parts (e.g. heels)"
"1920",1,"2219",1,"Manufacture of rubber boot and shoe heels and soles and other rubber footwear parts"
"1920",1,"2220",1,"Manufacture of plastic footwear parts"
"1920",1,"3230",1,"Manufacture of ski-boots"
"2010",0,"1610",0,""
"2021",0,"1621",0,""
"2022",0,"1622",0,""
"2023",1,"1623",0,""
"2023",1,"3319",1,"Repair or reconditioning of wooden pallets, shipping drums or barrels, and similar items"
"2029",1,"1629",1,"Manufacture of various wood products, fire logs etc."
"2029",1,"3290",1,"Manufacture of cork life preservers"
"2029",1,"3319",1,"Repair of other wood products, except household goods (e.g. wooden spools and similar parts of textile machinery)"
"2101",0,"1701",0,""
"2102",0,"1702",0,""
"2109",1,"1709",1,"Manufacture of household articles of paper, printing and writing paper, adhesive paper, envelopes, boxes containing an assortment of stationery, wall paper, filter paper, labels, paper bobbins and the like, moulded paper packaging products"
"2109",1,"1811",1,"Printing of labels"
"2109",1,"2220",1,"Manufacture of plastic wallpaper"
"2211",1,"3290",1,"Manufacture of globes"
"2211",1,"5811",1,"Publishing of books; except on-line publishing and manufacture of globes"
"2211",1,"5812",1,"Publishing of directories and mailing lists, except on-line publishing"
"2212",0,"5813",1,""
"2213",0,"5920",1,""
"2219",1,"5813",1,"Publishing of radio, TV, transport and similar time tables"
"2219",1,"5819",1,"Publishing (except on-line) of other information (greeting cards, statistics etc.), except time tables"
"2221",1,"1709",1,"Printed registers, accounting books, albums etc."
"2221",1,"1811",1,"Printing, except: printing of labels, silk-screen printing on textiles, ""while-you-wait"" printing services"
"2222",0,"1812",0,""
"2230",0,"1820",0,""
"2310",0,"1910",1,""
"2320",0,"1920",1,""
"2330",1,"2011",1,"Enrichment of uranium and thorium ores"
"2330",1,"2100",1,"Manufacture of radioactive in-vivo diagnostic substances"
"2330",1,"2420",1,"Production of uranium metal from pitchblende or other ores; smelting and refining of uranium"
"2330",1,"3812",1,"Transfer stations for spent nuclear fuels (e.g. temporary storage)"
"2330",1,"3822",1,"Treatment and disposal of radioactive nuclear waste"
"2411",1,"1910",1,"Production of pitch and pitch coke"
"2411",1,"2011",1,"Manufacture of basic chemicals"
"2412",1,"2012",0,""
"2412",1,"3821",1,"Production of compost from organic waste"
"2413",0,"2013",0,""
"2421",0,"2021",0,""
"2422",0,"2022",0,""
"2423",1,"2100",1,"Excluding manufacture of radioactive in-vivo diagnostic substances and manufacture of dental fillings and bone reconstruction cements"
"2423",1,"3250",1,"Manufacture of dental fillings and bone reconstruction cements"
"2424",0,"2023",0,""
"2429",1,"1079",1,"Processing of salt"
"2429",1,"2011",1,"Manufacture of distilled water"
"2429",1,"2029",1,"Manufacture of other chemical products, except matches, processed salt"
"2429",1,"2610",1,"Manufacture of semifinished dice or wafers, semiconductors"
"2429",1,"2680",0,""
"2429",1,"2817",1,"Manufacture of toner cartridges"
"2430",0,"2030",0,""
"2511",0,"2211",0,""
"2519",1,"2219",1,"Manufacture of rubber and rubber products (see other links for exceptions)"
"2519",1,"2220",1,"Manufacture of rubber floor coverings"
"2519",1,"2812",1,"Rubber fluid power hose assemblies with fittings (but not valves or similar accessories)"
"2519",1,"3290",1,"Manufacture of rubber protective safety equipment, e.g. gloves, life vests"
"2519",1,"3319",1,"Repair of rubber products (except tyres)"
"2520",1,"2220",1,"Manufacture of plastic products (see other links for exceptions)"
"2520",1,"2610",1,"Technical laminates used to produce printed circuit boards"
"2520",1,"2733",1,"Manufacture of plastic non current carrying wiring devices (junction boxes, face plates etc.)"
"2520",1,"3290",1,"Manufacture of hard hats"
"2520",1,"3314",1,"Repair of plastic non current carrying wiring devices (junction boxes, face plates etc.)"
"2520",1,"3319",1,"Repair of plastic products"
"2610",1,"2310",0,""
"2610",1,"3319",1,"Repair of glass and glass products"
"2691",1,"2392",1,"Manufacture of ceramic sanitary fixtures"
"2691",1,"2393",0,""
"2692",0,"2391",0,""
"2693",0,"2392",1,""
"2694",0,"2394",0,""
"2695",0,"2395",0,""
"2696",0,"2396",0,""
"2699",1,"1312",1,"Carbon woven fabrics"
"2699",1,"2399",0,""
"2699",1,"3290",1,"Manufacture of fire-fighting protection suits and fire resistant clothing, of non-metallic minerals"
"2699",1,"3319",1,"Repair of millstones, grindstones, polishing stones etc."
"2710",1,"2410",0,""
"2710",1,"2431",1,"Manufacture of tubes, pipes and fittings of cast-iron or cast-steel, seamless tubes and pipes of steel by centrifugal casting"
"2720",0,"2420",1,""
"2731",0,"2431",1,""
"2732",0,"2432",0,""
"2811",1,"2511",0,""
"2811",1,"3311",1,"Repair of structural metal products"
"2812",1,"2512",0,""
"2812",1,"3311",1,"Repair of tanks, reservoirs and containers of metal"
"2813",1,"2513",0,""
"2813",1,"3311",1,"Repair of steam generators"
"2813",1,"3320",1,"Installation of steam generators, nuclear reactors"
"2891",0,"2591",0,""
"2892",1,"0162",1,"Activities of farriers"
"2892",1,"1811",1,"Printing on metals"
"2892",1,"2592",0,""
"2892",1,"3311",1,"Welding repair"
"2893",1,"2593",1,"Manufacture of cutlery, hand tools and general hardware; except manufacture of moulding boxes and moulds"
"2893",1,"3311",1,"Repair of hand tools and general hardware"
"2899",1,"2599",1,"Manufacture of other fabricated metal products (see other links for exceptions)"
"2899",1,"2817",1,"Manufacture of white boards and marker boards"
"2899",1,"3290",1,"Manufacture of metal safety headgear"
"2899",1,"3311",1,"Repair of fabricated metal products"
"2911",1,"2811",1,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines; excluding pistons, piston rings, carburetors, inlet and exhaust valves for internal combustion engines, turbine-generator sets"
"2911",1,"3312",1,"Repair of engines and turbines (except aircraft, vehicle and cycle)"
"2911",1,"3320",1,"Installation of engines and turbines"
"2912",1,"2811",1,"Manufacture of carburetors"
"2912",1,"2812",1,"Manufacture of fluid power equipment"
"2912",1,"2813",0,""
"2912",1,"3312",1,"Repair of pumps, compressors, taps and valves"
"2912",1,"3320",1,"Installation of industrial machinery-type pumps"
"2913",1,"2812",1,"Manufacture of hydraulic transmission equipment"
"2913",1,"2814",0,""
"2913",1,"3312",1,"Repair of bearings, gears, gearing and driving elements"
"2914",1,"2815",1,"Manufacture of ovens, furnaces and furnace burners, except permanent-mount heating equipment and household-type furnaces; excluding repair and installation"
"2914",1,"3312",1,"Repair of ovens, furnaces and furnace burners"
"2914",1,"3320",1,"Installation of ovens and furnaces"
"2915",1,"2816",1,"Manufacture of lifting and handling equipment, except hand trucks and wheelbarrows; excluding repair and installation"
"2915",1,"3312",1,"Repair of lifting and handling equipment (except lifts and escalators)"
"2915",1,"3320",1,"Installation of lifting and handling equipment"
"2919",1,"2819",1,"Manufacture of general-purpose machinery (see other links for exceptions)"
"2919",1,"3250",1,"Manufacture of laboratory centrifuges"
"2919",1,"3312",1,"Repair of other general-purpose machinery"
"2919",1,"3320",1,"Installation of other general-purpose machinery"
"2921",1,"2821",0,""
"2921",1,"3312",1,"Repair of agricultural and forestry machinery"
"2921",1,"3320",1,"Installation of agricultural machinery"
"2922",1,"2790",1,"Manufacture of electric welding, brazing or soldering equipment"
"2922",1,"2818",0,""
"2922",1,"2819",1,"Manufacture of non-electric welding, brazing or soldering equipment"
"2922",1,"2822",1,"Manufacture of metal-forming machinery and machine tools; except manufacture of power-driven hand tools; welding, brazing or soldering machines"
"2922",1,"3312",1,"Repair of machine tools, except electrical welding and soldering equipment"
"2922",1,"3314",1,"Repair of electric welding, brazing or soldering equipment"
"2922",1,"3320",1,"Installation of machine tools (e.g. hydraulic presses, draw-benches)"
"2923",1,"2823",0,""
"2923",1,"3312",1,"Repair of machinery for metallurgy"
"2923",1,"3320",1,"Installation of machinery for metallurgy"
"2924",1,"2824",0,""
"2924",1,"3312",1,"Repair of machinery for mining and construction"
"2924",1,"3320",1,"Installation of machinery for mining and construction (e.g. continuous action elevators, tunneling machines)"
"2925",1,"2825",0,""
"2925",1,"3312",1,"Repair of machinery for food, beverage and tobacco processing"
"2925",1,"3320",1,"Installation of machinery for food beverage and tobacco processing"
"2926",1,"2826",1,"Manufacture of machinery for textile, apparel and leather production, except textile printing machinery"
"2926",1,"3312",1,"Repair of machinery for textile, apparel and leather production"
"2926",1,"3320",1,"Installation of machinery for textile, apparel and leather production"
"2927",1,"2520",0,""
"2927",1,"3030",1,"Manufacture of intercontinental ballistic missiles (ICBM)"
"2927",1,"3040",0,""
"2927",1,"3311",1,"Repair of weapons"
"2929",1,"2593",1,"Manufacture of moulding boxes and moulds (except ingot moulds)"
"2929",1,"2790",1,"Manufacture of ultrasonic cleaning machines (except laboratory and dental)"
"2929",1,"2826",1,"Manufacture of textile printing machinery and industrial clothes-dryers"
"2929",1,"2829",1,"Manufacture of other special purpose machinery"
"2929",1,"3311",1,"Repair of moulding boxes and moulds (except ingot moulds)"
"2929",1,"3312",1,"Repair of other special purpose machinery (except ultrasonic cleaning machines)"
"2929",1,"3314",1,"Repair of ultrasonic cleaning machines (except laboratory and dental)"
"2929",1,"3320",1,"Installation of other special purpose machinery"
"2930",1,"2750",0,""
"2930",1,"2815",1,"Manufacture of electric space heaters (non-portable), household-type furnaces etc."
"2930",1,"2819",1,"Manufacture of attic ventilation fans"
"3000",1,"2610",1,"Manufacture of computer modems"
"3000",1,"2620",0,""
"3000",1,"2817",1,"Manufacture of office machinery and equipment, except computers and peripheral equipment"
"3000",1,"3320",1,"Installation of mainframes and similar computers, other office machinery"
"3110",1,"2610",1,"Manufacture of electronic transformers (solid state), coils, chokes, and other inductors"
"3110",1,"2710",1,"Manufacture of electric motors, generators and transformers, except turbine-generator sets"
"3110",1,"2790",1,"Manufacture of battery chargers, rectifiers, solid-state inverters"
"3110",1,"2811",1,"Manufacture of turbine-generator sets"
"3110",1,"3312",1,"Repair of turbine-generator sets"
"3110",1,"3314",1,"Repair of electric motors, generators and transformers, battery chargers etc."
"3110",1,"3320",1,"Installation of electric motors, generators and transformers"
"3120",1,"2610",1,"Manufacture of electronic connectors such as cylindrical, rack and panel, printed circuit, etc.; electronic switches, such as snap, toggle, rocker, etc., for use in electronic apparatus"
"3120",1,"2710",1,"Manufacture of electricity distribution and control apparatus, except wiring devices"
"3120",1,"2733",1,"Manufacture of wiring devices"
"3120",1,"2790",1,"Manufacture of surge suppressors"
"3120",1,"3314",1,"Repair of electricity distribution and control apparatus"
"3130",1,"2610",1,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
"3130",1,"2731",1,"Manufacture of fibre optic cable for data transmission"
"3130",1,"2732",0,""
"3130",1,"2790",1,"Manufacture of extension cords"
"3130",1,"3314",1,"Repair of electric and electronic wires and cables (except computer cables etc.)"
"3140",1,"2720",0,""
"3140",1,"3314",1,"Repair of accumulators etc."
"3150",1,"2740",1,"Manufacture of electric lighting equipment, including for railways, aircraft, boats; except electrical signs"
"3150",1,"2790",1,"Manufacture of electrical signs"
"3150",1,"3314",1,"Repair of electric lighting equipment"
"3190",1,"2599",1,"Manufacture of permanent metallic magnets"
"3190",1,"2630",1,"Manufacture of burglar and fire alarm systems"
"3190",1,"2651",1,"Manufacture of pulse generators"
"3190",1,"2733",1,"Manufacture of indicator panels; electrical conduit tubing and joints for such tubing, of base metal lined with insulating material"
"3190",1,"2740",1,"Manufacture of lighting equipment for motor vehicles, electrical fireplace logs, electrical insect lamps"
"3190",1,"2790",1,"Manufacture of other electrical equipment"
"3190",1,"2822",1,"Manufacture of electroplating machinery"
"3190",1,"2930",1,"Manufacture of motor vehicle electrical equipment"
"3190",1,"3020",1,"Manufacture of mechanical and electromechanical signaling, safety and traffic control equipment for railways, tramways, inland waterways, roads, parking facilities, airfields etc."
"3190",1,"3313",1,"Repair of pulse generators"
"3190",1,"3314",1,"Repair of other electrical equipment"
"3210",1,"2610",1,"Manufacture of electronic components and boards"
"3210",1,"2790",1,"Manufacture of solid-state fuel cells, power supplies; manufacture of non-electronic electric components, such as non-electronic capacitors, resistors etc. (e.g. power capacitors)"
"3210",1,"3314",1,"Repair of solid-state fuel cells, power supplies; non-electronic electric components, such as non-electronic capacitors, resistors etc. (e.g. power capacitors)"
"3220",1,"2630",1,"Manufacture of communication equipment, except remote controls, pagers, burglar and fire alarm systems, installation of communications equipment"
"3220",1,"2651",1,"Manufacture of GPS equipment"
"3220",1,"3313",1,"Repair of GPS equipment"
"3220",1,"3320",1,"Installation of communication equipment"
"3220",1,"9512",1,"Repair of communication equipment, industrial-type (e.g. commercial TV cameras)"
"3230",1,"2610",1,"Manufacture of heads (pickup, recording, read/write, etc.), phonograph needles"
"3230",1,"2630",1,"Manufacture of infrared devices (e.g. remote controls), pagers"
"3230",1,"2640",1,"Manufacture of consumer electronics, except video game consoles and digital cameras"
"3230",1,"2670",1,"Manufacture of digital cameras"
"3230",1,"2817",1,"Manufacture of dictating machines"
"3230",1,"3312",1,"Repair of dictating machines"
"3230",1,"3313",1,"Repair of digital cameras"
"3230",1,"9521",1,"Repair of public address systems and components"
"3311",1,"2660",0,""
"3311",1,"3250",1,"Manufacture of orthopedic and prosthetic devices, artificial teeth, splints, crutches; orthopedic shoes; bone plates and screws; syringes, catheters etc.; medical, surgical dental or veterinary furniture (operating tables, dentists' chairs etc.); medical thermometers; dental laboratory furnaces; laboratory sterilizers, ultrasonic cleaning machinery; mechanotherapeutic appliances; surgical and medical instruments"
"3311",1,"3290",1,"Manufacture of gas masks"
"3311",1,"3313",1,"Repair of electro-diagnostic apparatus, X-ray and similar apparatus, irradiation apparatus and tubes (medical and other), hearing aids, pace makers, mirrors, reflectors"
"3311",1,"3319",1,"Repair of orthopedic and prosthetic devices, gas masks"
"3311",1,"3320",1,"Installation of X-ray machines etc."
"3312",1,"2651",1,"Manufacture of measuring, testing, navigating and control equipment"
"3312",1,"2670",1,"Manufacture of optical range finders"
"3312",1,"2819",1,"Manufacture of machinists precision tools (except optical), levels, tape measures etc."
"3312",1,"2829",1,"Manufacture of tire alignment and balancing equipment; balancing equipment (except wheel balancing)"
"3312",1,"3250",1,"Manufacture of laboratory type distilling apparatus"
"3312",1,"3313",1,"Repair of measuring, testing, navigating and control equipment"
"3312",1,"3319",1,"Repair of laboratory sterilizers and laboratory type distilling apparatus"
"3313",1,"2651",1,"Manufacture of industrial process control equipment"
"3313",1,"3313",1,"Repair of industrial process control equipment"
"3313",1,"3320",1,"Installation of industrial process control equipment"
"3320",1,"2670",1,"Manufacture of optical instruments and photographic equipment; except digital cameras, optical fibres and optical fibre cables, mirrors, reflectors and optical range finders"
"3320",1,"2731",1,"Manufacture of fibre optic cable for live transmission of images"
"3320",1,"2829",1,"Manufacture of photolithography equipment for semiconductor manufacture"
"3320",1,"3250",1,"Manufacture of ophthalmic goods, eyeglasses, sunglasses, lenses, safety goggles"
"3320",1,"3313",1,"Repair of optical instruments and photographic equipment (except household goods)"
"3330",1,"2652",0,""
"3330",1,"3211",1,"Manufacture of watch bands of precious metal"
"3330",1,"3212",1,"Manufacture of watch bands of non-precious metal"
"3330",1,"3319",1,"Repair of parking meters, time clocks, time/date stamps, time locks, and similar timing devices"
"3410",0,"2910",0,""
"3420",1,"2920",0,""
"3420",1,"3311",1,"Repair and maintenance of containers"
"3430",1,"1392",1,"Textile headliners, panels, seat belts"
"3430",1,"2811",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for motor vehicle engines"
"3430",1,"2930",1,"Manufacture of parts and accessories for motor vehicles; except manufacture of car seats, motor vehicle electrical equipment, inlet and exhaust valves of internal combustion engines"
"3511",1,"3011",1,"Except repair and maintenance of ships"
"3511",1,"3315",1,"Repair and maintenance of ships"
"3512",1,"3012",0,""
"3512",1,"3315",1,"Repair and maintenance of pleasure boats"
"3520",1,"3020",1,"Manufacture of railway locomotives and rolling stock; except manufacture of railway car seats and lighting fixtures, repair of railway cars etc."
"3520",1,"3315",1,"Repair of railway cars etc."
"3530",1,"2811",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for aircraft engines"
"3530",1,"2829",1,"Manufacture of aircraft launching gear, catapults etc."
"3530",1,"3030",1,"Manufacture of air and spacecraft; except manufacture of aircraft seats and lighting fixtures, repair of aircraft"
"3530",1,"3315",1,"Repair and maintenance of aircraft"
"3591",1,"2811",1,"Manufacture of pistons and piston rings, inlet and exhaust valves etc. for cycle engines"
"3591",1,"3091",0,""
"3592",0,"3092",1,""
"3599",1,"2816",1,"Manufacture of hand trucks and wheelbarrows"
"3599",1,"3099",0,""
"3599",1,"3100",1,"Manufacture of restaurant carts etc."
"3599",1,"3312",1,"Repair of hand trucks and wheelbarrows"
"3599",1,"3315",1,"Repair of animal-drawn vehicles"
"3610",1,"2219",1,"Manufacture of rubber waterbed mattresses"
"3610",1,"2220",1,"Plastic waterbed mattresses"
"3610",1,"2817",1,"Manufacture of blackboards"
"3610",1,"2930",1,"Manufacture of car seats"
"3610",1,"3011",1,"Manufacture of seats for ships and floating structures"
"3610",1,"3020",1,"Manufacture of railway car seats"
"3610",1,"3030",1,"Manufacture of aircraft seats"
"3610",1,"3100",1,"Manufacture of furniture (see other links for exceptions)"
"3610",1,"9524",1,"Repair of furniture"
"3691",0,"3211",1,""
"3692",1,"3220",0,""
"3692",1,"3319",1,"Restoring of organs and other historical musical instruments"
"3693",1,"3230",1,"Manufacture of sports goods, except ski-boots"
"3693",1,"3290",1,"Manufacture of ear and nose plugs"
"3694",1,"2640",1,"Manufacture of video game consoles"
"3694",1,"2829",1,"Manufacture of automatic bowling alley equipment"
"3694",1,"3240",0,""
"3694",1,"3312",1,"Repair of automatic bowling alley equipment"
"3694",1,"3319",1,"Repair of pinball machines and other coin-operated games"
"3699",1,"1399",1,"Manufacture of powder puffs and mitts"
"3699",1,"1512",1,"Manufacture of horse whips and riding crops"
"3699",1,"1629",1,"Manufacture of handles for umbrellas, canes and similar, blocks for the manufacture of smoking pipes and similar wood products"
"3699",1,"1709",1,"Manufacture of paper novelties"
"3699",1,"2029",1,"Manufacture of matches"
"3699",1,"2219",1,"Manufacture of hard rubber combs, hair pins, hair rollers, rubber brushes"
"3699",1,"2220",1,"Manufacture of combs of plastic, linoleum floor coverings, plastic novelties"
"3699",1,"2599",1,"Manufacture of metal vacuum jugs and bottles, badges, combs, frames etc."
"3699",1,"2829",1,"Manufacture of roundabouts, swings, shooting galleries and other fairground amusements"
"3699",1,"3092",1,"Manufacture of baby carriages"
"3699",1,"3212",1,"Manufacture of imitation jewellery, except watch bands"
"3699",1,"3290",1,"Manufacture of goods not elsewhere classified"
"3699",1,"3312",1,"Repair of roundabouts, swings, shooting galleries and other fairground amusements"
"3710",0,"3830",1,""
"3720",0,"3830",1,""
"4010",0,"3510",0,""
"4020",0,"3520",0,""
"4030",0,"3530",1,""
"4100",0,"3600",0,""
"4510",1,"0990",1,"Test drilling for mining"
"4510",1,"3900",1,"Clearing of landmines"
"4510",1,"4311",0,""
"4510",1,"4312",1,"Site preparation"
"4520",1,"4100",0,""
"4520",1,"4210",0,""
"4520",1,"4220",0,""
"4520",1,"4290",1,"Construction of industrial facilities (except buildings), waterways, harbours, dams, outdoor sports facilities; dredging of waterways"
"4520",1,"4390",1,"Scaffolding; roof covering; subsurface work; construction of foundations incl. pile driving"
"4530",1,"4321",0,""
"4530",1,"4322",0,""
"4530",1,"4329",1,"Installation of: elevators, escalators; thermal, sound or vibration insulation; lightning conductors; vacuum cleaning systems;"
"4530",1,"4330",1,"Installation of furniture"
"4530",1,"4390",1,"Damp proofing and water proofing works"
"4540",1,"3320",1,"Installation of bowling alley equipment"
"4540",1,"4329",1,"Installation of automated and revolving doors"
"4540",1,"4330",1,"Building completion and finishing activities"
"4540",1,"4390",1,"Steam cleaning, sand blasting and similar activities for building exteriors"
"4550",1,"4312",1,"Renting of bulldozers for earth moving"
"4550",1,"4390",1,"Renting of cranes with operator; renting of mortar spreaders, concrete surfacing machinery etc. with operator"
"5010",0,"4510",0,""
"5020",1,"4520",0,""
"5020",1,"5221",1,"Towing and roadside assistance"
"5030",0,"4530",0,""
"5040",0,"4540",0,""
"5050",0,"4730",0,""
"5110",0,"4610",0,""
"5121",0,"4620",0,""
"5122",0,"4630",0,""
"5131",0,"4641",0,""
"5139",1,"4649",0,""
"5139",1,"4663",1,"Wholesale of wallpaper and floor coverings"
"5141",0,"4661",0,""
"5142",0,"4662",0,""
"5143",0,"4663",1,""
"5149",0,"4669",0,""
"5151",0,"4651",0,""
"5152",0,"4652",0,""
"5159",1,"4653",0,""
"5159",1,"4659",0,""
"5190",0,"4690",0,""
"5211",0,"4711",0,""
"5219",0,"4719",0,""
"5220",1,"4721",0,""
"5220",1,"4722",0,""
"5220",1,"4723",0,""
"5231",0,"4772",0,""
"5232",1,"4751",0,""
"5232",1,"4771",0,""
"5233",1,"4742",0,""
"5233",1,"4753",1,"Retail sale of curtains and net curtains"
"5233",1,"4759",0,""
"5233",1,"4762",0,""
"5234",0,"4752",0,""
"5239",1,"4741",0,""
"5239",1,"4753",1,"Retail sale of carpets, rugs, wallpaper and floor coverings"
"5239",1,"4761",0,""
"5239",1,"4763",0,""
"5239",1,"4764",0,""
"5239",1,"4773",0,""
"5240",0,"4774",0,""
"5251",0,"4791",1,""
