Country Name,ISO3,Code
New Caledonia,NCL,540
New Zealand,NZL,554
Nicaragua,NIC,558
Niger,NER,562
Nigeria,NGA,566
Niue,NIU,570
Norfolk Island,NFK,574
Northern Mariana Islands,MNP,580
Norway,NOR,578
Oman,OMN,512
Pacific Islands,PCE,582
Pakistan,PAK,586
Palau,PLW,585
Panama,PAN,591
Papua New Guinea,PNG,598
Paraguay,PRY,600
Pen Malaysia,PMY,459
Peru,PER,604
Philippines,PHL,608
Pitcairn,PCN,612
Poland,POL,616
Portugal,PRT,620
Puerto Rico,PRI,630
Qatar,QAT,634
Reunion,REU,638
Romania,ROM,642
Russian Federation,RUS,643
Rwanda,RWA,646
Ryukyu Is,RYU,647
Sabah,SBH,461
Saint Helena,SHN,654
Saint Kitts-Nevis-Anguilla-Aru,KN1,658
Saint Pierre and Miquelon,SPM,666
Samoa,WSM,882
San Marino,SMR,674
Sao Tome and Principe,STP,678
Sarawak,SWK,457
Saudi Arabia,SAU,682
Senegal,SEN,686
Seychelles,SYC,690
Sierra Leone,SLE,694
SIKKIM,SIK,698
Singapore,SGP,702
Slovak Republic,SVK,703
Slovenia,SVN,705
Solomon Islands,SLB,90
Somalia,SOM,706
South Africa,ZAF,710
Soviet Union,SVU,810
Spain,ESP,724
Special Categories,SPE,839
Sri Lanka,LKA,144
St. Kitts and Nevis,KNA,659
St. Lucia,LCA,662
St. Vincent and the Grenadines,VCT,670
Sudan,SDN,736
Suriname,SUR,740
Svalbard and Jan Mayen Is,SJM,744
Swaziland,SWZ,748
Sweden,SWE,752
Switzerland,CHE,756
Syrian Arab Republic,SYR,760
Taiwan,TWN,158
Tajikistan,TJK,762
Tanzania,TZA,834
Thailand,THA,764
Togo,TGO,768
Tokelau,TKL,772
Tonga,TON,776
Trinidad and Tobago,TTO,780
Tunisia,TUN,788
Turkey,TUR,792
Turkmenistan,TKM,795
Turks and Caicos Isl.,TCA,796
Tuvalu,TUV,798
Uganda,UGA,800
Ukraine,UKR,804
United Arab Emirates,ARE,784
United Kingdom,GBR,826
United States,USA,840
Unspecified,UNS,898
Uruguay,URY,858
Us Msc.Pac.I,USP,849
Uzbekistan,UZB,860
Vanuatu,VUT,548
Venezuela,VEN,862
Vietnam,VNM,704
Virgin Islands (U.S.),VIR,850
Wake Island,WAK,872
Wallis and Futura Isl.,WLF,876
Western Sahara,ESH,732
World,WLD,0
Yemen Democratic,YDR,720
"Yemen, Rep.",YEM,887
Yugoslavia,SER,891
"Yugoslavia, FR (Serbia/Montene",YUG,890
Zambia,ZMB,894
Zimbabwe,ZWE,716
